cell,true_clone
C5,2
C6,2
C7,2
C10,0
C12,2
C13,2
C14,0
C15,2
C16,2
C17,2
C19,2
C20,2
C21,0
C22,2
C23,2
C24,2
C29,2
C30,2
C32,2
C34,2
C89,2
C90,2
C93,2
C94,2
C95,2
C96,2
C97,2
C98,2
C99,1
C100,2
C102,2
C103,2
C105,2
C106,0
C107,0
C108,2
C109,2
C110,2
C111,2
C112,2
C113,2
C114,2
C115,2
C116,2
C118,2
C119,2
C122,2
C123,2
C127,2
C187,2
C189,2
C192,2
C193,2
C194,2
C197,2
C198,2
C200,2
C201,0
C204,0
C205,2
C208,2
C209,2
C211,2
C212,2
C265,2
C267,2
C268,2
C273,0
C274,2
C275,2
C277,2
C278,2
C280,2
C281,2
C282,2
C284,2
C285,2
C286,0
C288,2
C291,2
C295,2
C347,2
C350,2
C364,0
C365,2
C368,0
C369,2
C371,2
C372,2
C375,2
C376,2
C378,2
C379,2
C380,2
C381,2
C382,2
C383,2
C435,2
C438,2
C439,2
C440,1
C443,2
C444,2
C445,2
C448,2
C449,2
C450,2
C457,0
C458,2
C459,2
C460,1
C461,0
C462,0
C463,0
C464,2
C465,0
C466,0
C467,0
C468,2
C469,2
C470,2
C471,2
C478,2
C479,2
C480,2
C481,0
C483,2
C484,2
C485,2
C488,2
C490,2
C491,2
C494,2
C495,2
C540,2
C541,1
C542,0
C543,0
C544,2
C545,2
C550,0
C551,0
C552,0
C553,0
C554,0
C555,2
C556,0
C557,0
C558,0
C559,0
C560,2
C561,1
C562,1
C563,0
C564,2
C565,0
C566,0
C567,2
C568,0
C569,0
C575,0
C576,2
C577,2
C579,2
C580,2
C581,0
C582,2
C583,2
C584,2
C585,2
C586,2
C587,2
C588,2
C589,2
C590,2
C591,2
C592,2
C596,2
C597,2
C659,2
C660,2
C661,2
C664,0
C665,2
C674,0
C675,0
C676,0
C677,2
C678,0
C679,0
C680,0
C681,2
C682,0
C683,0
C684,0
C685,0
C686,2
C687,1
C688,0
C689,2
C690,0
C691,0
C692,0
C693,0
C694,0
C695,2
C696,0
C697,0
C698,2
C699,2
C700,0
C701,0
C702,2
C703,2
C704,0
C709,2
C711,0
C712,2
C716,2
C717,2
C766,2
C768,2
C769,0
C770,2
C773,0
C774,0
C775,2
C776,0
C777,0
C778,0
C779,0
C780,0
C781,0
C782,0
C783,0
C784,2
C785,0
C786,0
C787,0
C788,0
C789,1
C790,0
C791,1
C792,0
C793,0
C794,2
C795,0
C796,0
C797,0
C798,0
C799,0
C800,0
C801,0
C802,0
C803,0
C804,1
C805,0
C806,0
C807,0
C808,2
C809,2
C817,0
C818,1
C819,2
C820,2
C821,0
C822,2
C823,2
C894,2
C896,2
C902,0
C903,0
C904,0
C905,0
C906,0
C907,2
C908,0
C909,0
C910,2
C911,0
C912,0
C913,0
C914,1
C915,0
C916,0
C917,0
C918,0
C919,0
C920,0
C921,0
C922,1
C923,0
C924,0
C925,0
C926,0
C933,0
C934,2
C1000,2
C1001,0
C1003,2
C1004,2
C1005,0
C1006,0
C1007,0
C1008,0
C1009,2
C1010,0
C1011,0
C1012,0
C1013,0
C1014,0
C1015,0
C1016,0
C1017,0
C1018,0
C1019,0
C1020,0
C1041,0
C1086,0
C1089,0
C1090,2
C1092,0
C1093,0
C1100,0
C1101,0
C1102,0
C1103,0
C1104,0
C1105,0
C1106,0
C1107,0
C1108,0
C1109,0
C1110,0
C1111,0
C1112,0
C1117,0
C1118,0
C1119,0
C1120,0
C1122,0
C1123,2
C1125,0
C1129,2
C1133,0
C1176,2
C1181,0
C1182,0
C1189,1
C1193,0
C1194,0
C1203,0
C1204,0
C1205,0
C1211,2
C1247,0
C1263,0
C1266,2
C1271,0
C1274,0
C1275,0
C1277,0
C1337,0
C1338,2
C1343,2
C1346,0
C1347,0
C1349,0
C1350,0
C1376,0
C1379,0
C1407,0
C1410,0
C1411,0
C1412,0
C1413,0
C1415,0
C1446,0
C1448,0
C1449,0
C1454,0
C1479,0
C1484,0
C1485,0
C1486,2
C1493,0
C1494,2
C1495,0
C1501,1
C1502,0
C1503,0
C1504,0
C1505,0
C1507,1
C1508,1
C1532,0
C1533,1
C1541,1
C1543,1
C1544,0
C1545,0
C1550,1
C1551,0
C1553,0
C1554,0
C1555,2
C1556,0
C1557,1
C1558,2
C1559,2
C1560,0
C1594,0
C1596,0
C1597,0
C1599,2
C1600,0
C1601,1
C1602,0
C1603,0
C1604,2
C1605,0
C1606,0
C1607,0
C1608,0
C1609,0
C1614,0
C1615,2
C1616,1
C1617,1
C1618,1
C1621,0
C1648,0
C1649,0
C1651,0
C1657,0
C1658,2
C1659,1
C1660,0
C1661,0
C1662,0
C1663,0
C1664,0
C1665,0
C1666,1
C1667,0
C1668,0
C1669,0
C1670,0
C1671,1
C1672,0
C1675,1
C1676,0
C1681,0
C1712,0
C1713,0
C1718,0
C1719,0
C1720,1
C1721,0
C1722,0
C1723,0
C1724,0
C1725,0
C1726,0
C1727,0
C1728,0
C1729,0
C1730,0
C1731,0
C1732,2
C1733,1
C1734,0
C1735,0
C1736,0
C1737,1
C1738,2
C1739,0
C1740,1
C1741,0
C1742,0
C1743,1
C1744,1
C1750,0
C1751,1
C1752,0
C1753,0
C1754,0
C1755,0
C1790,0
C1792,0
C1793,0
C1794,0
C1798,0
C1799,0
C1800,0
C1801,1
C1802,0
C1803,0
C1804,0
C1805,0
